RecordID,Brainwave,TP9,AF7,AF8,TP10
219,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
220,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
221,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
222,Delta,1.3956935,1.3897784,0.33971676,0.73774594
223,Theta,1.0300685,0.24174626,0.09553431,0.31383893
224,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
225,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
226,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
227,Delta,1.3956935,1.3897784,0.33971676,0.73774594
228,Theta,1.0300685,0.24174626,0.09553431,0.31383893
229,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
230,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
231,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
232,Delta,1.3956935,1.3897784,0.33971676,0.73774594
233,Theta,1.0300685,0.24174626,0.09553431,0.31383893
234,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
235,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
236,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
237,Delta,1.3956935,1.3897784,0.33971676,0.73774594
238,Theta,1.0300685,0.24174626,0.09553431,0.31383893
239,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
240,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
241,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
242,Delta,1.3956935,1.3897784,0.33971676,0.73774594
243,Theta,1.0300685,0.24174626,0.09553431,0.31383893
244,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
245,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
246,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
247,Delta,1.3956935,1.3897784,0.33971676,0.73774594
248,Theta,1.0300685,0.24174626,0.09553431,0.31383893
249,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
250,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
251,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
252,Delta,1.3956935,1.3897784,0.33971676,0.73774594
253,Theta,1.0300685,0.24174626,0.09553431,0.31383893
254,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
255,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
256,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
257,Delta,1.3956935,1.3897784,0.33971676,0.73774594
258,Theta,1.0300685,0.24174626,0.09553431,0.31383893
259,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
260,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
261,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
262,Delta,1.3956935,1.3897784,0.33971676,0.73774594
263,Theta,1.0300685,0.24174626,0.09553431,0.31383893
264,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
265,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
266,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
267,Delta,1.3956935,1.3897784,0.33971676,0.73774594
268,Theta,1.0300685,0.24174626,0.09553431,0.31383893
269,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
270,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
271,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
272,Delta,1.3956935,1.3897784,0.33971676,0.73774594
273,Theta,1.0300685,0.24174626,0.09553431,0.31383893
274,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
275,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
276,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
277,Delta,1.3956935,1.3897784,0.33971676,0.73774594
278,Theta,1.0300685,0.24174626,0.09553431,0.31383893
279,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
280,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
281,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
282,Delta,1.3956935,1.3897784,0.33971676,0.73774594
283,Theta,1.0300685,0.24174626,0.09553431,0.31383893
284,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
285,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
286,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
287,Delta,1.3956935,1.3897784,0.33971676,0.73774594
288,Theta,1.0300685,0.24174626,0.09553431,0.31383893
289,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
290,Alpha,0.7371003,-0.07732675,0.04619143,0.40174988
291,Beta,0.39489168,-0.04296034,0.40675575,0.5665532
292,Delta,1.3956935,1.3897784,0.33971676,0.73774594
293,Theta,1.0300685,0.24174626,0.09553431,0.31383893
294,Gamma,-0.3692707,-0.47835955,-0.31123206,0.011118603
